um_title,onet_code,onet_title,mapping_method,gemini_confidence
Copywriter,27-3043.00,Writers and Authors,curated,
Corporate Communication Manager,11-2032.00,Public Relations Managers,gemini,0.95
Corporate Communications Executive,27-3031.00,Public Relations Specialists,gemini,0.9
Corporate Counsel,23-1011.00,Lawyers,gemini,0.95
Corporate Finance Analyst,13-2051.00,Financial and Investment Analysts,gemini,0.95
Corporate Finance Executive,13-2051.00,Financial and Investment Analysts,gemini,0.9
Corporate Governance Executive (Shariah-compliant firms),13-1041.00,Compliance Officers,gemini,0.85
Corporate Lawyer,23-1011.00,Lawyers,gemini,0.95
Corporate Legal Counsel With Shariah Expertise,23-1011.00,Lawyers,gemini,0.9
Corporate Social Responsibility (CSR) Manager,11-2032.00,Public Relations Managers,gemini,0.8
Corporate Strategist,13-1111.00,Management Analysts,gemini,0.9
Corporate Strategist in Multinational Companies,13-1111.00,Management Analysts,gemini,0.9
Corporate Trainer,13-1151.00,Training and Development Specialists,curated,
Corporate Wellness Coordinator,11-9179.01,Fitness and Wellness Coordinators,gemini,0.95
Corrosion Engineer,17-2131.00,Materials Engineers,gemini,0.9
Cost Estimator,13-1051.00,Cost Estimators,curated,
Cost Planner,13-1051.00,Cost Estimators,gemini,0.9
Costume Designer,27-1022.00,Fashion Designers,curated,
Counseling Psychologist,19-3033.00,Clinical and Counseling Psychologists,curated,
Creative Director,27-1011.00,Art Directors,gemini,0.95
Creative Writer,27-3043.05,"Poets, Lyricists and Creative Writers",curated,
Credit Analyst,13-2041.00,Credit Analysts,curated,
Crime Prevention Specialist,13-1199.07,Security Management Specialists,gemini,0.8
Criminal Lawyer,23-1011.00,Lawyers,gemini,0.95
Criminologist,19-3041.00,Sociologists,gemini,0.85
Critical Care Nurse,29-1141.03,Critical Care Nurses,curated,
Cross-Cultural Trainer,13-1151.00,Training and Development Specialists,gemini,0.9
Cryptographer,15-2021.00,Mathematicians,curated,
Cultural Advisor,19-3099.00,"Social Scientists and Related Workers, All Other",gemini,0.8
Cultural Analyst,19-3099.00,"Social Scientists and Related Workers, All Other",gemini,0.8
Cultural Arts Manager,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",gemini,0.85
Cultural Consultant,19-3099.00,"Social Scientists and Related Workers, All Other",gemini,0.8
Cultural Heritage Manager,25-4012.00,Curators,gemini,0.85
Cultural Officer,19-3099.00,"Social Scientists and Related Workers, All Other",gemini,0.75
Cultural Program Manager,11-9151.00,Social and Community Service Managers,gemini,0.8
Curriculum Developer,25-9031.00,Instructional Coordinators,gemini,0.95
Curriculum Developer For Islamic Education,25-9031.00,Instructional Coordinators,gemini,0.9
Customer Relationship Manager,11-2022.00,Sales Managers,gemini,0.85
Customer Service Executive,43-4051.00,Customer Service Representatives,gemini,0.95
Cybersecurity Analyst,15-1212.00,Information Security Analysts,gemini,0.95
Cybersecurity Engineer,15-1299.05,Information Security Engineers,gemini,0.95
Dance Critic,27-3043.00,Writers and Authors,gemini,0.85
Dance Ethnologist,19-3091.00,Anthropologists and Archeologists,gemini,0.85
Dance Instructor,25-3021.00,Self-Enrichment Teachers,curated,
Dance Music Composer,27-2041.00,Music Directors and Composers,gemini,0.95
Dance Notation Specialist,27-2032.00,Choreographers,gemini,0.8
Dance Therapist,29-1129.00,"Therapists, All Other",gemini,0.9
Dance Writer,27-3043.00,Writers and Authors,gemini,0.9
Dancer,27-2031.00,Dancers,curated,
Data Analyst,19-3022.00,Survey Researchers,curated,
Data Architect,15-1243.00,Database Architects,curated,
Data Center Technician,15-1231.00,Computer Network Support Specialists,gemini,0.85
Data Engineer,15-1243.00,Database Architects,curated,
Data Scientist,15-2051.00,Data Scientists,curated,
Database Administrator,15-1242.00,Database Administrators,curated,
Da’wah Officer,21-2099.00,"Religious Workers, All Other",gemini,0.85
Deep Learning Engineer,15-2051.00,Data Scientists,gemini,0.85
Demographer,15-2041.00,Statisticians,gemini,0.85
Dental Health Educator,21-1091.00,Health Education Specialists,gemini,0.85
Dental Public Health Specialist,29-1029.00,"Dentists, All Other Specialists",gemini,0.9
Dental Research Scientist,19-1042.00,"Medical Scientists, Except Epidemiologists",gemini,0.85
Dental Specialist,29-1029.00,"Dentists, All Other Specialists",gemini,0.95
Design Consultant,27-1029.00,"Designers, All Other",gemini,0.8
Design Engineer,17-2199.00,"Engineers, All Other",gemini,0.85
Development Consultant,,,unmapped,0.85
Development Control Officer,19-3051.00,Urban and Regional Planners,gemini,0.85
Development Economist,19-3011.00,Economists,gemini,0.95
Development Manager,11-9199.10,Wind Energy Development Managers,curated,
Development Project Manager,13-1082.00,Project Management Specialists,gemini,0.9
Digital Content Creator,27-3099.00,"Media and Communication Workers, All Other",gemini,0.85
Digital Design Engineer,17-2072.00,"Electronics Engineers, Except Computer",gemini,0.9
Digital Forensic Analyst,15-1299.06,Digital Forensics Analysts,gemini,0.95
Digital Forensics Specialist,15-1299.06,Digital Forensics Analysts,curated,
Digital Learning Specialist,25-9031.00,Instructional Coordinators,gemini,0.9
Digital Media Specialist,27-3099.00,"Media and Communication Workers, All Other",gemini,0.85
Diplomat,,,unmapped,0.85
Diplomat or Foreign Service Officer,,,unmapped,0.85
Diplomatic Officer,,,unmapped,0.85
Director,27-2012.00,Producers and Directors,curated,
Disability Advocate,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.85
Documentary Producer,27-2012.00,Producers and Directors,gemini,0.95
Draftsperson,17-3011.00,Architectural and Civil Drafters,curated,
Drama Educator,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",gemini,0.85
Drama Therapist,29-1129.00,"Therapists, All Other",gemini,0.85
Dramaturg,27-3043.00,Writers and Authors,gemini,0.8
Drilling Engineer,17-2171.00,Petroleum Engineers,curated,
Drug Safety Associate,13-1041.07,Regulatory Affairs Specialists,gemini,0.85
E-Commerce Specialist,13-1199.06,Online Merchants,gemini,0.9
ESL Program Coordinator,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",gemini,0.9
Early Childhood Education Administrator,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",gemini,0.95
Early Childhood Educator,25-2011.00,"Preschool Teachers, Except Special Education",gemini,0.95
Earth Science Educator,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",gemini,0.9
East Asian Market Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,gemini,0.9
Ecologist,19-2041.03,Industrial Ecologists,curated,
Econometrician,19-3011.00,Economists,gemini,0.95
Economic Consultant,19-3011.00,Economists,curated,
Economic Geographer,19-3092.00,Geographers,gemini,0.95
Economist,19-3011.00,Economists,curated,
Ecotourism Guide,39-7011.00,Tour Guides and Escorts,gemini,0.9
Ecotourism Planner,19-3051.00,Urban and Regional Planners,gemini,0.85
Editor,27-3041.00,Editors,gemini,0.95
Editor/Publisher,27-3041.00,Editors,gemini,0.85
Editorial Director,27-3041.00,Editors,gemini,0.9
Education Administrator,11-9039.00,"Education Administrators, All Other",gemini,0.9
Education Consultant,25-9031.00,Instructional Coordinators,gemini,0.9
Education Officer,25-9031.00,Instructional Coordinators,gemini,0.85
Education Officer In Religious Institutions,21-2021.00,"Directors, Religious Activities and Education",gemini,0.9
Education Policy Advisor (Islamic Education),21-2021.00,"Directors, Religious Activities and Education",gemini,0.8
Education Policy Analyst,25-9031.00,Instructional Coordinators,gemini,0.8
Educational Administrator,11-9039.00,"Education Administrators, All Other",gemini,0.9
Educational Consultant,25-9031.00,Instructional Coordinators,gemini,0.9
Educational Counselor,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",gemini,0.95
Educational Program Developer,25-9031.00,Instructional Coordinators,gemini,0.9
Educational Publisher,27-3041.00,Editors,gemini,0.75
Educational Technology Specialist,25-9031.00,Instructional Coordinators,gemini,0.95
Electrical Engineer,17-2071.00,Electrical Engineers,curated,
Electronic Music Producer,27-2041.00,Music Directors and Composers,gemini,0.85
Electronics Engineer,17-2072.00,"Electronics Engineers, Except Computer",gemini,0.95
Embassy Staff,,,unmapped,0.85
Embedded Systems Engineer,17-2072.00,"Electronics Engineers, Except Computer",gemini,0.85
Emergency Medicine Doctor,29-1214.00,Emergency Medicine Physicians,gemini,0.95
Employment Lawyer,23-1011.00,Lawyers,gemini,0.95
Energy Engineer,17-2199.03,"Energy Engineers, Except Wind and Solar",curated,
Energy Systems Engineer,17-2199.03,"Energy Engineers, Except Wind and Solar",gemini,0.9
Engineering Geologist,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",curated,
English Language Instructor,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",gemini,0.85
English Language Teacher,25-1123.00,"English Language and Literature Teachers, Postsecondary",gemini,0.85
Ensemble Director,27-2041.00,Music Directors and Composers,gemini,0.9
Enterprise Network Architect,15-1241.00,Computer Network Architects,gemini,0.95
Entrepreneur,11-1021.00,General and Operations Managers,gemini,0.7
Entrepreneur (Halal Business),11-1021.00,General and Operations Managers,gemini,0.65
Entrepreneur in Creative Industries,11-1021.00,General and Operations Managers,gemini,0.65
Entrepreneur specializing in East Asian markets,11-1021.00,General and Operations Managers,gemini,0.65
Environmental Auditor,13-1041.01,Environmental Compliance Inspectors,gemini,0.85
Environmental Biotechnologist,19-2041.00,"Environmental Scientists and Specialists, Including Health",gemini,0.8
Environmental Compliance Inspector,13-1041.01,Environmental Compliance Inspectors,curated,
Environmental Compliance Officer,13-1041.01,Environmental Compliance Inspectors,gemini,0.95
Environmental Consultant,19-2041.00,"Environmental Scientists and Specialists, Including Health",gemini,0.9
Environmental Educator,19-1031.03,Park Naturalists,curated,
Environmental Engineer,17-2081.00,Environmental Engineers,curated,
Environmental Geologist,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",gemini,0.9
Environmental Health and Safety Officer,19-5011.00,Occupational Health and Safety Specialists,gemini,0.9
Environmental Impact Assessment Officer,19-2041.00,"Environmental Scientists and Specialists, Including Health",gemini,0.85
Environmental Impact Assessor,19-2041.00,"Environmental Scientists and Specialists, Including Health",gemini,0.85
Environmental Lawyer,23-1011.00,Lawyers,gemini,0.95
Environmental Microbiologist,19-1022.00,Microbiologists,gemini,0.95
Environmental Outreach Coordinator,13-1199.05,Sustainability Specialists,gemini,0.8
Environmental Planner,19-3051.00,Urban and Regional Planners,gemini,0.85
Environmental Policy Analyst,19-2041.01,Climate Change Policy Analysts,curated,
Environmental Researcher,19-2041.00,"Environmental Scientists and Specialists, Including Health",gemini,0.9
Environmental Scientist,19-2041.00,"Environmental Scientists and Specialists, Including Health",curated,
Epidemiologist,19-1041.00,Epidemiologists,curated,
Equity Analyst,13-2051.00,Financial and Investment Analysts,gemini,0.95
Estate Planner,13-2052.00,Personal Financial Advisors,gemini,0.85
Ethics Consultant,13-1111.00,Management Analysts,gemini,0.7
Ethnographer,19-3091.00,Anthropologists and Archeologists,gemini,0.9
Event Coordinator,13-1121.00,"Meeting, Convention, and Event Planners",curated,
Event Manager,13-1121.00,"Meeting, Convention, and Event Planners",gemini,0.95
Examination Officer,11-9033.00,"Education Administrators, Postsecondary",gemini,0.85
Exercise Physiologist,29-1128.00,Exercise Physiologists,curated,
Exercise Therapist,29-1128.00,Exercise Physiologists,gemini,0.85
Exploration Geologist,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",curated,
External Auditor,13-2011.00,Accountants and Auditors,gemini,0.95
Facilities Manager,11-3013.00,Facilities Managers,curated,
Facilities Planner,11-3013.00,Facilities Managers,gemini,0.85
Failure Analysis Engineer,17-2199.00,"Engineers, All Other",gemini,0.8
Family Lawyer,23-1011.00,Lawyers,gemini,0.95
Family Medicine Specialist,29-1215.00,Family Medicine Physicians,gemini,0.95
Family Support Specialist,21-1021.00,"Child, Family, and School Social Workers",gemini,0.85
Family Therapist,21-1013.00,Marriage and Family Therapists,curated,
Field Technician,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",gemini,0.75
Film Music Composer,27-2041.00,Music Directors and Composers,gemini,0.95
Finance Manager,11-3031.00,Financial Managers,gemini,0.95
Financial Analyst,13-2051.00,Financial and Investment Analysts,curated,
Financial Consultant,13-2052.00,Personal Financial Advisors,gemini,0.85
Financial Controller,11-3031.01,Treasurers and Controllers,gemini,0.95
Financial Operations Analyst,13-2051.00,Financial and Investment Analysts,gemini,0.85
Financial Planner,13-2052.00,Personal Financial Advisors,curated,
Financial Planner (Islamic Finance),13-2052.00,Personal Financial Advisors,curated,
Financial Risk Manager,13-2054.00,Financial Risk Specialists,gemini,0.95
Finite Element Analyst,17-2141.00,Mechanical Engineers,gemini,0.85
Fitness Center Manager,11-9179.01,Fitness and Wellness Coordinators,curated,
Fitness Trainer,39-9031.00,Exercise Trainers and Group Fitness Instructors,curated,
Food Safety Analyst,19-4099.01,Quality Control Analysts,gemini,0.85
Food Safety Specialist,19-1012.00,Food Scientists and Technologists,gemini,0.85
Food Technologist,19-1012.00,Food Scientists and Technologists,curated,
Foreign Affairs Analyst,19-3094.00,Political Scientists,gemini,0.85
Foreign Affairs Specialist,19-3094.00,Political Scientists,gemini,0.85
Foreign Correspondent,27-3023.00,"News Analysts, Reporters, and Journalists",gemini,0.95
Foreign Language Analyst,27-3091.00,Interpreters and Translators,gemini,0.85
Foreign Policy Advisor,19-3094.00,Political Scientists,gemini,0.85
Forensic Accountant,13-2099.04,"Fraud Examiners, Investigators and Analysts",gemini,0.9
Forensic Medical Officer,29-1222.00,"Physicians, Pathologists",gemini,0.9
Forensic Odontologist,29-1029.00,"Dentists, All Other Specialists",gemini,0.9
Forensic Scientist,19-4092.00,Forensic Science Technicians,curated,
Forest and Land Use Planner,19-3051.00,Urban and Regional Planners,gemini,0.85
Forestry Officer,19-1032.00,Foresters,gemini,0.95
Formulation Scientist,19-2031.00,Chemists,gemini,0.85
French Language Teacher,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",gemini,0.85
Fund Manager,11-3031.03,Investment Fund Managers,gemini,0.95
GIS Analyst,15-1299.02,Geographic Information Systems Technologists and Technicians,gemini,0.95
GIS Analyst (Environmental Applications),15-1299.02,Geographic Information Systems Technologists and Technicians,gemini,0.95
GIS Specialist,15-1299.02,Geographic Information Systems Technologists and Technicians,gemini,0.95
Game Developer,15-1255.01,Video Game Designers,gemini,0.9
General Practitioner,29-1215.00,Family Medicine Physicians,gemini,0.9
General Practitioner Dentist,29-1021.00,"Dentists, General",gemini,0.98
Genetic Counselor,29-9092.00,Genetic Counselors,curated,
Genetic Counselor (with further study),29-9092.00,Genetic Counselors,curated,
Genetic Technologist,29-2011.01,Cytogenetic Technologists,gemini,0.9
Geneticist,19-1029.03,Geneticists,curated,
Geographic Information Systems (GIS) Specialist,15-1299.02,Geographic Information Systems Technologists and Technicians,gemini,0.95
Geological Consultant,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",gemini,0.9
Geological Surveyor,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",gemini,0.85
Geologist,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",curated,
Geophysicist,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",gemini,0.95
Geotechnical Engineer,17-2051.00,Civil Engineers,curated,
Geriatric Nurse,29-1141.00,Registered Nurses,gemini,0.9
