faculty,programme,programme_slug,um_title,onet_code,onet_title,mapping_method,gemini_confidence
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF MUAMALAT MANAGEMENT,bachelor-of-muamalat-management,Halal Industry Executive,13-1041.00,Compliance Officers,gemini,0.8
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF MUAMALAT MANAGEMENT,bachelor-of-muamalat-management,Takaful (Islamic Insurance) Agent,41-3021.00,Insurance Sales Agents,gemini,0.95
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF MUAMALAT MANAGEMENT,bachelor-of-muamalat-management,Islamic Banking Officer,13-2099.00,"Financial Specialists, All Other",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF MUAMALAT MANAGEMENT,bachelor-of-muamalat-management,Investment Analyst (Islamic Funds),13-2051.00,Financial and Investment Analysts,curated,
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF MUAMALAT MANAGEMENT,bachelor-of-muamalat-management,Zakat and Waqf Management Officer,13-2099.00,"Financial Specialists, All Other",gemini,0.7
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF MUAMALAT MANAGEMENT,bachelor-of-muamalat-management,Financial Planner (Islamic Finance),13-2052.00,Personal Financial Advisors,curated,
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF MUAMALAT MANAGEMENT,bachelor-of-muamalat-management,Islamic Wealth Management Advisor,13-2052.00,Personal Financial Advisors,gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF MUAMALAT MANAGEMENT,bachelor-of-muamalat-management,Research Officer (Islamic Economics),19-3011.00,Economists,gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF MUAMALAT MANAGEMENT,bachelor-of-muamalat-management,Entrepreneur (Halal Business),11-1021.00,General and Operations Managers,gemini,0.65
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF MUAMALAT MANAGEMENT,bachelor-of-muamalat-management,Corporate Governance Executive (Shariah-compliant firms),13-1041.00,Compliance Officers,gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF MUAMALAT MANAGEMENT,bachelor-of-muamalat-management,Lecturer or Academic Researcher in Islamic Finance,25-1011.00,"Business Teachers, Postsecondary",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF MUAMALAT MANAGEMENT,bachelor-of-muamalat-management,Islamic Capital Market Executive,13-2051.00,Financial and Investment Analysts,gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Islamic Scholar,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Religious Teacher,25-3021.00,Self-Enrichment Teachers,gemini,0.75
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Quranic Studies Lecturer,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",gemini,0.95
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Hadith Researcher,21-2099.00,"Religious Workers, All Other",gemini,0.8
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Islamic Counsellor,21-1019.00,"Counselors, All Other",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Islamic Education Coordinator,25-9031.00,Instructional Coordinators,gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Mosque Imam,21-2011.00,Clergy,gemini,0.95
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Religious Advisor,21-2099.00,"Religious Workers, All Other",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Author Of Islamic Literature,27-3043.00,Writers and Authors,gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Islamic Curriculum Developer,25-9031.00,Instructional Coordinators,gemini,0.92
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Islamic Content Writer,27-3043.00,Writers and Authors,gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Translator Of Islamic Texts,27-3091.00,Interpreters and Translators,gemini,0.95
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Community Outreach Coordinator,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Islamic Affairs Officer,21-2099.00,"Religious Workers, All Other",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Interfaith Dialogue Facilitator,21-2099.00,"Religious Workers, All Other",gemini,0.82
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Islamic Historian,19-3093.00,Historians,gemini,0.98
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Religious Event Organizer,13-1121.00,"Meeting, Convention, and Event Planners",gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Quran Memorization Coach,25-3021.00,Self-Enrichment Teachers,gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Islamic Law Consultant,23-1011.00,Lawyers,gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Lecturer In Islamic Universities,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Shariah Lawyer,23-1011.00,Lawyers,gemini,0.95
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Islamic Court Judge,23-1023.00,"Judges, Magistrate Judges, and Magistrates",gemini,0.95
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Legal Advisor In Islamic Finance,23-1011.00,Lawyers,gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Compliance Officer In Islamic Banking,13-1041.00,Compliance Officers,gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Legal Consultant,23-1011.00,Lawyers,gemini,0.95
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Legal Researcher,23-2011.00,Paralegals and Legal Assistants,gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Mediator In Islamic Disputes,23-1022.00,"Arbitrators, Mediators, and Conciliators",gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Lecturer In Shariah And Law,25-1112.00,"Law Teachers, Postsecondary",gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Government Legal Officer,23-1011.00,Lawyers,gemini,0.95
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Legal Policy Analyst,19-3094.00,Political Scientists,gemini,0.75
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Human Rights Advocate,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.8
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Legal Auditor,13-1041.00,Compliance Officers,gemini,0.75
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Corporate Legal Counsel With Shariah Expertise,23-1011.00,Lawyers,gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Public Prosecutor In Islamic Courts,23-1011.00,Lawyers,gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Legal Affairs Manager,11-9199.00,"Managers, All Other",gemini,0.8
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,NGO Legal Advisor,23-1011.00,Lawyers,gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Legal Writer/Journalist,27-3023.00,"News Analysts, Reporters, and Journalists",curated,
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Law Enforcement Officer Specializing In Shariah,33-3051.00,Police and Sheriff's Patrol Officers,gemini,0.8
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Arbitrator,23-1022.00,"Arbitrators, Mediators, and Conciliators",curated,
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Islamic Legal Trainer,13-1151.00,Training and Development Specialists,gemini,0.82
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Shariah Advisor,21-2099.00,"Religious Workers, All Other",gemini,0.8
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Islamic Finance Consultant,13-2051.00,Financial and Investment Analysts,gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Mosque Imam,21-2011.00,Clergy,gemini,0.95
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Islamic Judge (Qadi),23-1023.00,"Judges, Magistrate Judges, and Magistrates",gemini,0.95
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Religious Teacher,25-3021.00,Self-Enrichment Teachers,gemini,0.75
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Islamic Legal Researcher,23-2011.00,Paralegals and Legal Assistants,gemini,0.88
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Lecturer In Syariah Studies,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Halal Certification Officer,13-1041.00,Compliance Officers,gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Islamic Banking Officer,13-2099.00,"Financial Specialists, All Other",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Islamic Counsellor,21-1019.00,"Counselors, All Other",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Legal Consultant In Syariah Law,23-1011.00,Lawyers,gemini,0.95
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Compliance Officer In Islamic Institutions,13-1041.00,Compliance Officers,gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Community Outreach Coordinator,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Mediator In Family And Inheritance Matters,23-1022.00,"Arbitrators, Mediators, and Conciliators",gemini,0.95
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Islamic Affairs Officer,21-2099.00,"Religious Workers, All Other",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,NGO Worker Specializing In Islamic Law,23-1011.00,Lawyers,gemini,0.75
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Islamic Content Writer,27-3043.00,Writers and Authors,gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Public Speaker On Syariah Issues,21-2099.00,"Religious Workers, All Other",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Islamic Event Organizer,13-1121.00,"Meeting, Convention, and Event Planners",gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Policy Analyst In Islamic Law,19-3094.00,Political Scientists,gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Religious Teacher,25-3021.00,Self-Enrichment Teachers,gemini,0.75
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Islamic Studies Lecturer,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",gemini,0.95
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Imam,21-2011.00,Clergy,curated,
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Mosque Administrator,21-2021.00,"Directors, Religious Activities and Education",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Islamic Counsellor,21-1019.00,"Counselors, All Other",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Researcher in Islamic Theology,19-3099.00,"Social Scientists and Related Workers, All Other",gemini,0.8
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Shariah Advisor,21-2099.00,"Religious Workers, All Other",gemini,0.8
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Islamic NGO Officer,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.82
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Islamic Content Writer,27-3043.00,Writers and Authors,gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Religious Affairs Officer,21-2099.00,"Religious Workers, All Other",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Interfaith Dialogue Coordinator,21-2099.00,"Religious Workers, All Other",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Islamic Education Curriculum Developer,25-9031.00,Instructional Coordinators,gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Da’wah Officer,21-2099.00,"Religious Workers, All Other",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Chaplain,21-2011.00,Clergy,curated,
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Islamic Ethics Consultant,21-2099.00,"Religious Workers, All Other",gemini,0.8
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Quranic Studies Specialist,21-2099.00,"Religious Workers, All Other",gemini,0.8
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Islamic Youth Mentor,21-2021.00,"Directors, Religious Activities and Education",gemini,0.8
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Religious Broadcaster,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Islamic Heritage Researcher,19-3093.00,Historians,gemini,0.88
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Islamic Education Teacher,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",gemini,0.82
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Islamic Studies Lecturer,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",gemini,0.95
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Curriculum Developer For Islamic Education,25-9031.00,Instructional Coordinators,gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Tahfiz School Teacher,25-3099.00,"Teachers and Instructors, All Other",gemini,0.8
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Religious School Administrator,11-9032.00,"Education Administrators, Kindergarten through Secondary",gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Educational Consultant,25-9031.00,Instructional Coordinators,gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Islamic Education Researcher,25-9031.00,Instructional Coordinators,gemini,0.8
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Textbook Writer For Islamic Subjects,27-3043.00,Writers and Authors,gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Da’wah Officer,21-2099.00,"Religious Workers, All Other",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Islamic Education Inspector,25-9031.00,Instructional Coordinators,gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Islamic NGO Education Officer,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.8
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Religious Counsellor,21-1019.00,"Counselors, All Other",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Education Policy Advisor (Islamic Education),21-2021.00,"Directors, Religious Activities and Education",gemini,0.8
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Islamic Education Trainer,13-1151.00,Training and Development Specialists,gemini,0.88
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Islamic Youth Educator,21-2021.00,"Directors, Religious Activities and Education",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Education Officer In Religious Institutions,21-2021.00,"Directors, Religious Activities and Education",gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Islamic E-Learning Content Developer,25-9031.00,Instructional Coordinators,gemini,0.88
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Moral And Civic Education Teacher (Islamic Perspective),25-3099.00,"Teachers and Instructors, All Other",gemini,0.75
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Islamic Education Broadcaster,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Religious Education Coordinator,21-2021.00,"Directors, Religious Activities and Education",curated,
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Malay Language Editor,27-3041.00,Editors,gemini,0.95
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Content Writer,27-3043.00,Writers and Authors,gemini,0.95
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Copywriter,27-3043.00,Writers and Authors,curated,
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Translator,27-3091.00,Interpreters and Translators,curated,
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Language Researcher,19-3099.00,"Social Scientists and Related Workers, All Other",gemini,0.85
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Proofreader,43-9081.00,Proofreaders and Copy Markers,curated,
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Lexicographer,27-3043.00,Writers and Authors,gemini,0.85
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Language Policy Officer,,,unmapped,0.7
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Scriptwriter,27-3043.05,"Poets, Lyricists and Creative Writers",gemini,0.95
